country_code,year,cluster,cluster_name,gini_index,poverty_215,poverty_365,poverty_685,gdp_per_capita,cpi,population
PNG,2009,1,⭐ Trung bình - Đang phát triển,41.9,52.2,69.4,92.1,0.0002704729449258,0.5743883973349854,7406438
TUV,2010,2,🔶 Nghèo cao - Cần hỗ trợ,39.1,9.0,21.2,60.6,0.2712734555496062,0.7471323459626312,10614
SLB,2012,1,⭐ Trung bình - Đang phát triển,37.1,40.3,62.9,90.7,0.0036713486072725,0.8661829098791017,573606
NRU,2012,2,🔶 Nghèo cao - Cần hỗ trợ,32.4,9.7,21.7,68.5,0.649787249879777,0.7449175829055574,10267
FSM,2013,1,⭐ Trung bình - Đang phát triển,40.1,26.1,43.8,78.1,0.026318847697543,0.9326302643586336,108121
WSM,2013,0,🏆 Phát triển cao - Nghèo thấp,38.7,4.5,11.5,49.4,0.0200325574409085,0.9044749024290402,198268
TLS,2014,1,⭐ Trung bình - Đang phát triển,28.7,43.9,71.3,96.0,0.0011108906067542,0.9282873696842532,1181903
MMR,2017,1,⭐ Trung bình - Đang phát triển,30.7,10.3,29.1,79.8,2.521084322045004e-05,0.775978231,51894938
LAO,2018,1,⭐ Trung bình - Đang phát triển,38.8,15.7,35.0,75.3,0.0003451126846648,0.8998957872390747,7128045
FJI,2019,0,🏆 Phát triển cao - Nghèo thấp,30.7,4.7,15.1,61.3,0.0062314029774808,1.0210559266601942,914899
MHL,2019,0,🏆 Phát triển cao - Nghèo thấp,35.5,2.1,6.7,36.5,0.1173734877534949,0.9812687229372246,44007
KIR,2019,0,🏆 Phát triển cao - Nghèo thấp,27.8,6.1,22.0,74.9,0.0148095966009643,0.9620681622586624,123921
VUT,2019,1,⭐ Trung bình - Đang phát triển,32.3,19.5,36.9,81.3,0.0102272503421192,0.9380472509844008,291985
JPN,2020,0,🏆 Phát triển cao - Nghèo thấp,32.3,1.2,1.5,3.2,0.0002743758712058,1.0023389589932012,126261000
AUS,2020,0,🏆 Phát triển cao - Nghèo thấp,33.8,1.0,1.0,1.5,0.0022887474445805,0.9721582583211252,25649248
TON,2021,0,🏆 Phát triển cao - Nghèo thấp,27.1,0.4,1.8,26.7,0.0439754191874399,1.0,105490
KOR,2021,0,🏆 Phát triển cao - Nghèo thấp,32.9,0.2,0.2,0.5,0.0006330184324091,1.0,51769539
MYS,2021,0,🏆 Phát triển cao - Nghèo thấp,40.7,0.0,0.1,2.9,0.0003030204132472,1.015542007011224,34282399
VNM,2022,0,🏆 Phát triển cao - Nghèo thấp,36.1,1.6,4.2,21.5,3.629252952491253e-05,1.0038351244047714,99680655
MNG,2022,0,🏆 Phát triển cao - Nghèo thấp,31.4,0.4,2.3,24.4,0.0012248672718951,1.151479526538077,3433748
PHL,2023,3,💡 Đặc biệt - Bất bình đẳng cao,39.3,5.3,16.9,58.7,3.259342465413108e-05,1.1214717408508463,114891199
THA,2023,0,🏆 Phát triển cao - Nghèo thấp,33.5,0.0,0.1,9.9,8.93751282752523e-05,1.067308114955239,71702435
IDN,2024,3,💡 Đặc biệt - Bất bình đẳng cao,34.9,5.4,19.9,68.3,1.5407578907519385e-05,1.114301314095147,283487931
