country_code,year,cpi
AUS,2000,
AUS,2001,0.6248691647477511
AUS,2002,
AUS,2003,0.6610843625706528
AUS,2004,0.6765752564370957
AUS,2005,
AUS,2006,
AUS,2007,
AUS,2008,0.7682646012141532
AUS,2009,
AUS,2010,0.804689135440655
AUS,2011,
AUS,2012,
AUS,2013,
AUS,2014,0.8882143604772869
AUS,2015,
AUS,2016,0.9131253925057562
AUS,2017,
AUS,2018,0.9487125811178588
AUS,2019,
AUS,2020,0.9721582583211252
AUS,2021,
AUS,2022,
AUS,2023,
AUS,2024,
FJI,2000,
FJI,2001,
FJI,2002,0.5829250893285607
FJI,2003,
FJI,2004,
FJI,2005,
FJI,2006,
FJI,2007,
FJI,2008,0.7358967100205109
FJI,2009,
FJI,2010,
FJI,2011,
FJI,2012,
FJI,2013,0.8858006656356577
FJI,2014,
FJI,2015,
FJI,2016,
FJI,2017,
FJI,2018,
FJI,2019,1.0210559266601942
FJI,2020,
FJI,2021,
FJI,2022,
FJI,2023,
FJI,2024,
FSM,2000,0.601492002151322
FSM,2001,
FSM,2002,
FSM,2003,
FSM,2004,
FSM,2005,0.6446989196965038
FSM,2006,
FSM,2007,
FSM,2008,
FSM,2009,
FSM,2010,
FSM,2011,
FSM,2012,
FSM,2013,0.9326302643586336
FSM,2014,
FSM,2015,
FSM,2016,
FSM,2017,
FSM,2018,
FSM,2019,
FSM,2020,
FSM,2021,
FSM,2022,
FSM,2023,
FSM,2024,
IDN,2000,0.25946667855691
IDN,2001,0.2831271348846282
IDN,2002,0.3269397934388887
IDN,2003,0.3528131507681414
IDN,2004,0.3614145677845113
IDN,2005,0.3896572284010177
IDN,2006,0.4587750243092828
IDN,2007,0.4897725806201485
IDN,2008,0.5433496198872685
IDN,2009,0.5675757923679614
IDN,2010,0.6117023532509781
IDN,2011,0.6513888381037731
IDN,2012,0.6530233442971578
IDN,2013,0.7124352431370965
IDN,2014,0.7746245687532606
IDN,2015,0.837784697328579
IDN,2016,0.8582572684687136
IDN,2017,0.8831619233961799
IDN,2018,0.9169173279302166
IDN,2019,0.9399410955801908
IDN,2020,0.9717049236724422
IDN,2021,0.9693998497867136
IDN,2022,1.0258827718797132
IDN,2023,1.0849669200543297
IDN,2024,1.114301314095147
JPN,2000,
JPN,2001,
JPN,2002,
JPN,2003,
JPN,2004,
JPN,2005,
JPN,2006,
JPN,2007,
JPN,2008,0.9705662441699152
JPN,2009,0.9574360948615924
JPN,2010,0.9504635968280076
JPN,2011,0.9478740273161114
JPN,2012,0.9474563431182867
JPN,2013,0.9506306705071376
JPN,2014,0.9768607305282118
JPN,2015,0.984629511578518
JPN,2016,0.9833764589850432
JPN,2017,0.9881379863256284
JPN,2018,0.997911579010876
JPN,2019,1.002589569511896
JPN,2020,1.0023389589932012
JPN,2021,
JPN,2022,
JPN,2023,
JPN,2024,
KIR,2000,
KIR,2001,
KIR,2002,
KIR,2003,
KIR,2004,
KIR,2005,
KIR,2006,0.7648163446373455
KIR,2007,
KIR,2008,
KIR,2009,
KIR,2010,
KIR,2011,
KIR,2012,
KIR,2013,
KIR,2014,
KIR,2015,
KIR,2016,
KIR,2017,
KIR,2018,
KIR,2019,0.9620681622586624
KIR,2020,
KIR,2021,
KIR,2022,
KIR,2023,
KIR,2024,
KOR,2000,
KOR,2001,
KOR,2002,
KOR,2003,
KOR,2004,
KOR,2005,
KOR,2006,0.742267314153297
KOR,2007,
KOR,2008,0.7966527965453664
KOR,2009,
KOR,2010,0.8426738384464538
KOR,2011,
KOR,2012,0.8957714452944131
KOR,2013,
KOR,2014,0.9189962157083528
KOR,2015,
