country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AUS,national,46025.4152231667,46838.7962791339,47940.2026347242,49148.07282503154,50377.60818750325,51203.583134726,52042.86485840375,52933.9311679046,53286.554489966,53407.910134603546,53845.08487265595,54684.4655845361,55492.79566615405,56027.935354949805,56533.4399204935,57070.0463807766,57575.85722453135,58140.715195940254,58727.75790797685,58528.766084934,58704.6508154115,60143.155410968655,61303.99266186595,61405.03718636095,61651.19359512554,62221.48936113575
CHN,national,2237.44298500334,2405.89396743215,2610.72960252379,2857.0373538115,3127.86276523632,3465.81734409951,3883.35412942474,4409.75700836878,4811.47471804961,5237.76666540352,5764.86534987407,6275.90956436258,6723.19443752823,7198.06876478162,7686.57792954381,8175.33285077393,8679.37704460133,9221.51403820573,9798.6528523316,10356.4804194995,10573.6420059282,11469.5707134928,11830.5983703496,12484.1578844175,13121.6769905565,13743.382492506084
FJI,national,3960.88903149999,3998.79729208866,4086.10434130576,4087.72449101022,4264.59723774175,4255.45097421846,4295.40679748343,4223.44800626706,4240.77265686856,4164.29314800855,4272.35915090198,4375.58085420338,4427.97844455036,4630.35126544716,4883.24300436249,5097.53106864695,5218.85823412744,5500.67840152348,5720.21447177107,5701.10435269429,4729.3813108251,4489.96060809938,5362.78680848613,5736.82886448243,5926.74107099777,6052.359681514309
FSM,national,2787.806889533145,2830.1839192308103,2852.4173159213497,2869.0514869515378,2826.704841017725,2883.475195960013,2887.2353891223825,2852.64628409451,2833.2441214138425,2894.8329489285925,2974.531146497168,3026.25303893201,2950.73633182092,2845.6201319060524,2820.868107794095,2912.2783747495523,2918.9010705647825,2925.8715720930627,2944.5190504346774,3009.2139280724127,2976.5781306289127,3005.61307203837,2930.0723545727724,2932.3636263803346,2956.9999897060484,2981.6604006113
IDN,national,1828.10265968361,1868.59172307292,1926.37435868149,1991.91820506473,2065.70617470842,2155.4478015921,2244.0802226202,2355.1528565328,2464.60193418272,2546.21969707767,2670.8129098953,2799.62468790318,2930.518445323,3055.24246006469,3170.72103011429,3288.22269725538,3416.81005170972,3553.51999262321,3701.32155461912,3850.90321738979,3739.44906563161,3850.68877253903,4024.91225288391,4192.65167890692,4367.86266621191,4537.407174054839
JPN,national,31430.631130325,31476.0520665746,31416.1241772309,31830.217584972,32515.1158024695,33098.5474664881,33531.518563066,33990.0360341367,33557.6454041595,31651.0837739562,32942.2020783835,33011.1342301291,33518.4449368599,34239.8862473488,34386.9058552671,34960.6393843385,35242.199377148,35861.9728545672,36138.5290824814,36043.7844013518,34642.9718743239,35741.1601062924,36238.3294895302,36952.5150709861,37144.9142660116,37602.29917073882
KIR,national,1555.58204812097,1477.95177621217,1467.99273241655,1415.54577869304,1378.9583696722,1368.99728765793,1419.38723031361,1433.35747805619,1361.83599775608,1340.27605600221,1328.78776438805,1348.0602369873,1405.5029344967,1493.49148676402,1492.8508200481,1639.85274740652,1731.43702001694,1769.51178893032,1803.94853904977,1835.2200203881,1777.04492498977,1893.52679117878,1948.24330263386,1968.80992017133,2041.87624139757,2090.888479014244
KOR,national,16995.5591864626,17684.0503773277,18940.3842233935,19435.4934104303,20364.7599656771,21197.1990880347,22196.2077459266,23365.1402064812,23887.0595538423,23952.8132191069,25455.6174843658,26191.6442615421,26680.275444870505,27399.6159477521,28100.0102759544,28737.4391706499,29467.124342556,30312.8888500809,31059.2668087927,31645.9498343307,31378.1579340648,32771.0724243229,33690.3788793046,34121.0211756766,34786.15798151364,35442.06246968722
LAO,national,917.228038617529,954.123505414634,994.492241963795,1038.71192767783,1088.76034728831,1148.68153852071,1228.08927619923,1301.08597549864,1381.73754223953,1463.3379666846,1564.91068311647,1666.40086189871,1774.63585203672,1890.27861294875,2006.31195444447,2121.01339097363,2234.76098741846,2351.57441747595,2459.97874636195,2554.95638019245,2529.74622698761,2556.58912640405,2589.05015191628,2648.88726608035,2724.42462675419,2782.808054814968
MHL,national,3086.645377636877,3249.196212046803,3306.051569747845,3251.267495482557,3246.810497172497,3284.868221459215,3314.710197855425,3339.1742639995227,3175.263717879628,3307.03188752138,3439.2549075205025,3430.0258455054623,3466.4178657297725,3607.389277472108,3656.6656301974326,3809.96929944826,4007.8669796545546,4278.786749211886,4697.46095604818,5165.25507556805,5230.750145596469,5433.176053422568,5505.265021618609,5556.191636548805,6009.46528451516,6424.388142024398
