country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUS,,33.5,,33.5,33.1,,,,35.4,,34.7,,,,34.4,,33.7,,34.3,,33.8,,,,
CHN,,,42.0,,,40.9,,,43.0,,43.7,42.4,42.2,39.7,39.2,38.6,38.5,39.1,38.5,38.2,37.1,35.7,36.0,,
FJI,,,38.1,,,,,,40.4,,,,,36.7,,,,,,30.7,,,,,
FSM,,,,,,42.4,,,,,,,,40.1,,,,,,,,,,,
IDN,30.3,31.2,30.2,29.3,30.4,29.9,31.5,33.2,32.6,33.4,34.6,37.9,37.1,38.9,38.8,38.2,36.9,36.4,36.3,35.4,35.3,35.5,35.5,36.1,34.9
JPN,,,,,,,,,34.6,33.0,31.5,33.0,32.5,31.5,31.3,30.7,31.8,31.8,32.9,33.0,32.3,,,,
KIR,,,,,,,37.0,,,,,,,,,,,,,27.8,,,,,
KOR,,,,,,,31.7,,32.3,,32.0,,31.6,,31.2,,35.2,34.9,33.7,33.2,32.7,32.9,,,
LAO,,,32.6,,,,,35.4,,,,,36.0,,,,,,38.8,,,,,,
MHL,,,,,,,,,,,,,,,,,,,,35.5,,,,,
MMR,,,,,,,,,,,,,,,,38.1,,30.7,,,,,,,
MNG,,,32.9,,,,,35.8,,,33.1,33.9,33.8,,32.0,,32.3,,32.7,,,,31.4,,
MYS,,,,46.4,,,44.8,,45.5,,,43.9,,41.3,,41.1,,,41.2,,,40.7,,,
NRU,,,,,,,,,,,,,32.4,,,,,,,,,,,,
PHL,47.7,,,46.6,,,47.2,,,46.3,,,46.5,,,44.6,,,42.3,,,40.7,,39.3,
PNG,,,,,,,,,,41.9,,,,,,,,,,,,,,,
SLB,,,,,,46.1,,,,,,,37.1,,,,,,,,,,,,
THA,42.8,,41.9,,42.5,,41.8,39.8,40.3,39.6,39.4,37.5,39.3,37.8,37.0,36.0,36.7,36.4,36.4,34.9,35.0,34.9,34.3,33.5,
TLS,,35.9,,,,,,27.8,,,,,,,28.7,,,,,,,,,,
TON,37.7,,,,,,,,,37.5,,,,,,33.5,,,,,,27.1,,,
TUV,,,,,,,,,,,39.1,,,,,,,,,,,,,,
VNM,,,37.0,,36.8,,35.8,,35.6,,39.3,,35.6,,34.8,,35.3,,35.7,,36.8,,36.1,,
VUT,,,,,,,,,,,37.4,,,,,,,,,32.3,,,,,
WSM,,,40.7,,,,,,42.0,,,,,38.7,,,,,,,,,,,
