country_code,data_level,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AUS,national,24289.8412100354,24752.13873109135,25359.937098785,26285.55429189585,27264.44122138855,27967.427487044,28707.90098563005,29582.235347111,29718.51886615345,29738.9050957171,30413.3360196105,30975.52115748225,31172.826507167894,31321.1059984533,31627.304073208048,31985.54292178165,32282.79008751965,32618.5676553067,32855.6898823233,32148.98262094515,31536.841005387847,32127.3227894638,33211.8425801673,33666.5452590066,
CHN,national,826.946252980389,880.134843143289,955.872848066736,1010.29381505154,1087.30484807603,1201.84066655461,1319.07055523556,1494.62083883868,1619.47932819679,1774.61761906749,1972.97025095808,2257.42877889591,2449.54831784455,2650.40116368036,2876.67634511188,3111.57733727258,3387.30326753543,3675.7795108406,3963.11619368469,4173.65995460491,4050.83369006802,4578.9428350316,4647.9634911987,5101.98971459392,
FJI,national,,,,,,,,,,,,,,,,3106.6751957225,,,,,,,,,
IDN,national,1161.38914955523,1185.40135401011,1214.29658945001,1244.97750507858,1290.31293716671,1324.21378681367,1348.24831516667,1397.17441631853,1452.75957072601,1504.16949130582,1555.72852130272,1613.71450521643,1680.97454607929,1751.19993192339,1822.18491822482,1889.08452808832,1963.17227478231,2040.00779611304,2124.1022373389,2212.91942341128,2135.69429118373,2163.23260783198,2253.55713335175,2344.94992417129,2444.81220280054
JPN,national,17399.1129182481,17713.1771927372,17899.7692422626,17974.7717791919,18206.1918455418,18483.1290725905,18642.9046524387,18762.1189967671,18540.5302746562,18373.1621743749,18797.9656093834,18734.0408570777,19144.6247794758,19671.9196480316,19519.4606944528,19497.8271021974,19424.5655540307,19645.0667658179,19715.4032422305,19619.9766306596,18803.0146380464,19037.611669265,19534.3114459302,,
KIR,national,,,,,,,1318.05835627477,1286.21853332221,1219.84700929204,1116.5952106965,1102.11162458881,1179.15463296062,1186.51607025331,1266.72167932241,1312.37937462206,1474.36822458923,1569.75933638129,1604.53528783709,1607.11377728638,1749.64760389087,1643.37761898143,2059.65836126911,2136.3535620651,,
KOR,national,9623.1880799243,10102.8503965099,10946.361261606,10848.5514122322,10848.8002915031,11329.9024602149,11825.2584289798,12387.3274197052,12493.1755939252,12456.1526278074,12938.5313464423,13217.8474902011,13366.0493913069,13536.3402993208,13719.8366492496,13949.314127127,14254.2527745438,14608.7148625892,15008.1272428782,15271.9595221996,14515.4236444203,15054.0224876258,15705.1460106828,15975.281460139,
LAO,national,575.728373112551,676.111868552101,657.361932825086,744.89659821744,811.964843038143,854.644374124634,880.270084682247,871.104200174486,1004.32618935516,1031.11080846288,1192.66385744522,1213.16046283601,1374.16004009223,1420.92199753611,1466.92189143769,1510.80094076966,1554.75945600955,,,,,,,,
MHL,national,,,,,2885.9830614340726,2942.2626351276704,2850.3550204976445,2822.390268309293,2527.992036837895,2546.7279011303126,2575.241432667668,2667.56184828564,2775.31410711748,2934.7895531346453,2885.5492609025123,2956.119575356782,3182.1089756282627,3495.9266280542524,3630.0148514043294,3880.4945052226126,3870.25146620995,3925.414652153588,4086.7262924477272,,
MNG,national,,,,,,,,,,,1512.23633772482,1721.59837183285,1908.85562948927,2158.39327687931,2244.68628800156,2376.28998322873,2369.60780720573,2424.31257253919,2658.66018772207,2762.69075142257,2769.10422737044,2563.49793116044,2729.77622482087,2955.1110042021,3294.96093746058
MYS,national,2635.63445819664,2650.9388328907,2687.78783129231,2837.90798750543,3046.17626585988,3249.13819888419,3387.62343884211,3660.97857668476,3897.66188699704,3841.94895494223,4029.50310959533,4231.3468916647,4507.07130221607,4751.85706228808,4996.94186320741,5206.60772479137,5414.71064165109,5687.51709077947,6037.75090468222,6398.9372753072,6065.08524889391,6102.80522720758,6712.48225689278,6938.72146294838,7204.51247313098
PHL,national,1353.93448389958,1376.60446559769,1417.76991789161,1464.71770069679,1521.34740703258,1559.69081451188,1597.81942848556,1645.86663934579,1679.33227731995,1691.101579167,1716.29736338506,1776.34289521958,1860.6244784853,1932.23032848493,2010.69415690209,2108.85826256115,2229.51373156455,2332.09524396675,2436.22575046033,2547.98043938988,2318.53775115645,2394.39904978791,2573.21611321314,2693.80305972909,2801.42616663915
SLB,national,,,,1061.11541967734,1102.12046035954,1179.75908120629,1206.6553417304,1277.11400729769,1306.86650121977,1265.8036716939,1334.34099704573,1338.61685107757,1329.5779288808,1319.70875343248,1313.39799588567,1297.84575763216,1295.65362026194,1252.73611810062,1301.23236169194,1295.6287431064,1089.0600276982,1045.68274838196,1060.44020914806,,
THA,national,1901.38018911176,1993.12796271104,2096.86950076628,2230.03225657931,2374.31415379336,2452.86802219537,2500.72624169258,2510.36126682317,2561.73655775057,2520.02068814478,2639.6318237561,2671.37876057777,2849.55243223438,2859.89308943111,2859.94051007964,2920.92486372928,2991.54266946198,3070.90244454868,3201.65543669443,3321.82389598862,3290.38967906256,3306.27992536403,3510.09110223362,3752.79103432361,3920.11109148121
TLS,national,1006.22678126611,1045.94908704104,950.502127601492,849.510949112096,856.071959822361,825.757161943708,707.576103551414,727.951345870041,668.559678195789,737.450202213487,747.139937253326,738.95498767347,734.529489772091,768.484717721229,795.523998162286,766.465886281242,781.304017220381,789.45189074405,790.434018647935,812.997398045267,784.433729270248,751.702602472782,845.10153034956,864.489419094031,
TON,national,147.27953034372553,1828.8205629319991,3542.095254850865,3523.0642825477853,3412.66591572815,3414.3017881897604,3467.554088400645,3508.5184795115347,3551.49747101613,3443.13329471034,3380.8304805962853,3400.967583120975,3458.3296601954758,3577.97785473483,3755.665033955865,4024.4785403575,4178.33506885372,4290.64394796201,4403.6880999585,4465.119012431015,4786.07899704665,4543.73393847988,4652.854717649935,,
VNM,national,698.535823783014,722.139750923544,769.302134591335,822.661744463591,872.522555615667,927.207546825185,983.338966800829,1060.58990099741,1121.24174597107,1129.46338130452,1208.01982428177,1257.71592530496,1303.86044900408,1355.56667726479,1423.30860866042,1529.33937267271,1607.59975033856,1702.03780766968,1799.43141796785,1907.19316863785,1896.76740474564,1921.17036581274,2057.05698178473,2113.39556425954,
VUT,national,,,1808.55483202273,1807.35423455169,1803.56431644237,1805.36147912527,1813.81667594164,1792.64107564252,1806.8873930451,1812.66649980769,1818.92641376484,1835.43198063212,1849.98540609422,1870.46462771424,1911.600732601,1880.68969093452,1999.14396076673,1916.70933924051,1933.4505450664,1897.93126889867,1994.66362001591,2063.0843384238,2180.29963690309,,
WSM,national,,,,,,,,,,2870.791862332905,2856.234018080545,2804.152720644875,2797.654010107225,2842.74265571079,2831.867980688335,2893.28292741866,3003.668923420325,2990.3413924727147,2926.73287608145,2952.96682959522,3119.693909423215,3179.95084203734,3157.60777672821,3371.149426080905,
