country_code,year,pce
AUS,2000,24289.8412100354
AUS,2001,24752.13873109135
AUS,2002,25359.937098785
AUS,2003,26285.55429189585
AUS,2004,27264.44122138855
AUS,2005,27967.427487044
AUS,2006,28707.90098563005
AUS,2007,29582.235347111
AUS,2008,29718.51886615345
AUS,2009,29738.9050957171
AUS,2010,30413.3360196105
AUS,2011,30975.52115748225
AUS,2012,31172.826507167894
AUS,2013,31321.1059984533
AUS,2014,31627.304073208048
AUS,2015,31985.54292178165
AUS,2016,32282.79008751965
AUS,2017,32618.5676553067
AUS,2018,32855.6898823233
AUS,2019,32148.98262094515
AUS,2020,31536.841005387847
AUS,2021,32127.3227894638
AUS,2022,33211.8425801673
AUS,2023,33666.5452590066
AUS,2024,
CHN,2000,826.946252980389
CHN,2001,880.134843143289
CHN,2002,955.872848066736
CHN,2003,1010.29381505154
CHN,2004,1087.30484807603
CHN,2005,1201.84066655461
CHN,2006,1319.07055523556
CHN,2007,1494.62083883868
CHN,2008,1619.47932819679
CHN,2009,1774.61761906749
CHN,2010,1972.97025095808
CHN,2011,2257.42877889591
CHN,2012,2449.54831784455
CHN,2013,2650.40116368036
CHN,2014,2876.67634511188
CHN,2015,3111.57733727258
CHN,2016,3387.30326753543
CHN,2017,3675.7795108406
CHN,2018,3963.11619368469
CHN,2019,4173.65995460491
CHN,2020,4050.83369006802
CHN,2021,4578.9428350316
CHN,2022,4647.9634911987
CHN,2023,5101.98971459392
CHN,2024,
FJI,2000,
FJI,2001,
FJI,2002,
FJI,2003,
FJI,2004,
FJI,2005,
FJI,2006,
FJI,2007,
FJI,2008,
FJI,2009,
FJI,2010,
FJI,2011,
FJI,2012,
FJI,2013,
FJI,2014,
FJI,2015,3106.6751957225
FJI,2016,
FJI,2017,
FJI,2018,
FJI,2019,
FJI,2020,
FJI,2021,
FJI,2022,
FJI,2023,
FJI,2024,
IDN,2000,1161.38914955523
IDN,2001,1185.40135401011
IDN,2002,1214.29658945001
IDN,2003,1244.97750507858
IDN,2004,1290.31293716671
IDN,2005,1324.21378681367
IDN,2006,1348.24831516667
IDN,2007,1397.17441631853
IDN,2008,1452.75957072601
IDN,2009,1504.16949130582
IDN,2010,1555.72852130272
IDN,2011,1613.71450521643
IDN,2012,1680.97454607929
IDN,2013,1751.19993192339
IDN,2014,1822.18491822482
IDN,2015,1889.08452808832
IDN,2016,1963.17227478231
IDN,2017,2040.00779611304
IDN,2018,2124.1022373389
IDN,2019,2212.91942341128
IDN,2020,2135.69429118373
IDN,2021,2163.23260783198
IDN,2022,2253.55713335175
IDN,2023,2344.94992417129
IDN,2024,2444.81220280054
JPN,2000,17399.1129182481
JPN,2001,17713.1771927372
JPN,2002,17899.7692422626
JPN,2003,17974.7717791919
JPN,2004,18206.1918455418
JPN,2005,18483.1290725905
JPN,2006,18642.9046524387
JPN,2007,18762.1189967671
JPN,2008,18540.5302746562
JPN,2009,18373.1621743749
JPN,2010,18797.9656093834
JPN,2011,18734.0408570777
JPN,2012,19144.6247794758
JPN,2013,19671.9196480316
JPN,2014,19519.4606944528
JPN,2015,19497.8271021974
JPN,2016,19424.5655540307
JPN,2017,19645.0667658179
JPN,2018,19715.4032422305
JPN,2019,19619.9766306596
JPN,2020,18803.0146380464
JPN,2021,19037.611669265
JPN,2022,19534.3114459302
JPN,2023,
JPN,2024,
KIR,2000,
KIR,2001,
KIR,2002,
KIR,2003,
KIR,2004,
KIR,2005,
KIR,2006,1318.05835627477
KIR,2007,1286.21853332221
KIR,2008,1219.84700929204
KIR,2009,1116.5952106965
KIR,2010,1102.11162458881
KIR,2011,1179.15463296062
KIR,2012,1186.51607025331
KIR,2013,1266.72167932241
KIR,2014,1312.37937462206
KIR,2015,1474.36822458923
KIR,2016,1569.75933638129
KIR,2017,1604.53528783709
KIR,2018,1607.11377728638
KIR,2019,1749.64760389087
KIR,2020,1643.37761898143
KIR,2021,2059.65836126911
KIR,2022,2136.3535620651
KIR,2023,
KIR,2024,
KOR,2000,9623.1880799243
KOR,2001,10102.8503965099
KOR,2002,10946.361261606
KOR,2003,10848.5514122322
KOR,2004,10848.8002915031
KOR,2005,11329.9024602149
KOR,2006,11825.2584289798
KOR,2007,12387.3274197052
KOR,2008,12493.1755939252
KOR,2009,12456.1526278074
KOR,2010,12938.5313464423
KOR,2011,13217.8474902011
KOR,2012,13366.0493913069
KOR,2013,13536.3402993208
KOR,2014,13719.8366492496
KOR,2015,13949.314127127
KOR,2016,14254.2527745438
KOR,2017,14608.7148625892
KOR,2018,15008.1272428782
KOR,2019,15271.9595221996
KOR,2020,14515.4236444203
KOR,2021,15054.0224876258
KOR,2022,15705.1460106828
KOR,2023,15975.281460139
KOR,2024,
LAO,2000,575.728373112551
LAO,2001,676.111868552101
LAO,2002,657.361932825086
LAO,2003,744.89659821744
LAO,2004,811.964843038143
LAO,2005,854.644374124634
LAO,2006,880.270084682247
LAO,2007,871.104200174486
LAO,2008,1004.32618935516
LAO,2009,1031.11080846288
LAO,2010,1192.66385744522
LAO,2011,1213.16046283601
LAO,2012,1374.16004009223
LAO,2013,1420.92199753611
LAO,2014,1466.92189143769
LAO,2015,1510.80094076966
LAO,2016,1554.75945600955
LAO,2017,
LAO,2018,
LAO,2019,
LAO,2020,
LAO,2021,
LAO,2022,
LAO,2023,
LAO,2024,
MHL,2000,
MHL,2001,
